feature,importance
RAM_GB,0.052222206055513226
Storage_GB,0.051935476806014305
Channel_Reseller,0.020232775033592873
Channel_Online,0.020078138485887846
Channel_Retail Store,0.020033349218433257
Region_Europe,0.019962440079515725
Region_Asia-Pacific,0.019900089715278856
Region_North America,0.019705202042478005
Category_Desktop,0.019054608778698648
Category_Laptop,0.01879932552264284
PaymentMethod_Debit Card,0.018755111540020835
PaymentMethod_Credit Card,0.018584602227070018
Category_All-in-One,0.018490429054015243
OS_macOS,0.01840997195947251
CustomerSegment_Professional,0.018318753748170137
